,xcoord,ycoord,year,datestop,timestop,crimsusp,arstmade,addrtyp,rescode,premtype,premname,addrnum,stname,stinter,crossst,city,state,zip,lat,long
51,1012791,238814,2015,1012015,2215,MENACING W/FIREARM,N,L, , ,STREET, , ,INTERVALE AVENUE,WESTCHESTER AVENUE,BRONX, , ,40.714269,-74.005973
52,1012791,238814,2015,1012015,2215,MENACING W/FIREARM,N,L, , ,STREET, , ,INTERVALE AVENUE,WESTCHESTER AVENUE,BRONX, , ,40.714269,-74.005973
53,993854,229237,2015,1012015,2235,MISD,N,L, , ,WALKWAY,825,COLUMBUS AVENUE,WEST 104 STREET,WEST 100 STREET,MANHATTAN, , ,40.795612,-73.965455
54,998662,236967,2015,1012015,2250,FEL,Y,L, , ,STREET, , ,WEST 135 STREET,EDGECOMBE AVENUE,MANHATTAN, , ,40.81776,-73.947441
55,997859,193378,2015,1012015,2310,CPW,N,L, , ,MARCY HOUSES,625,PARK AVENUE,MARCY AVENUE,NOSTRAND AVENUE,BROOKLYN, , ,40.766769,-73.966921
56,998173,193694,2015,1012015,2315,CPW,N,L, , ,SIDEWALK, , ,ELLERY STREET,MARCY AVENUE,BROOKLYN, , ,40.70587,-74.013254
57,1020641,253803,2015,1012015,2325,ROBBERY,N,L, , ,STREET / SIDEWALK, , ,MACE AVENUE,OLINVILLE AVENUE,BRONX, , ,43.164427,-77.831735
58,1023340,254632,2015,1012015,2325,CPW,N,L, , ,STREET, , ,PAULDING AVENUE,ALLERTON AVENUE,BRONX, , ,42.499938,-77.567579
59,990224,177925,2015,1022015,11,FEL,N,L, , ,STREET, , ,11 AVENUE,18 STREET,BROOKLYN, , ,40.738274,-73.991233
60,1003816,188813,2015,1022015,15,CPW,N,L, , , , , ,HANCOCK STREET,REID AVENUE,BROOKLYN, , ,40.71385,-74.003198
61,1019841,185062,2015,1022015,50,FELONY,N,L, , ,PUBLIC SIDEWALK,517,EUCLID AVENUE,BELMONT AVENUE,PITKIN AVENUE,BROOKLYN, , ,42.705524,-78.021618
62,994972,158163,2015,1022015,135,FEL,N,L, , , ,2312,CONEY ISLAND AVENUE,AVENUE T,AVENUE S,BROOKLYN, , ,43.038574,-77.699017
63,1000692,192983,2015,1022015,150,MISD,N,L, , ,SIDEWALK, , ,MYRTLE AVENUE,MARCUS GARVEY BOULEVARD,BROOKLYN, , ,40.732448,-74.005462
64,998272,222318,2015,1022015,150,FELONY,N,L, , ,STREET, , ,1 AVENUE,EAST 86 STREET,MANHATTAN, , ,40.781532,-73.960416
65,1000678,230719,2015,1022015,215,ROBBERY,N,L, , ,PUBLIC SIDEWALK, , ,LEXINGTON AVENUE,EAST 118 STREET,MANHATTAN, , ,40.797944,-73.94212
66, , ,2015,1022015,240,GLA,Y,L, , ,STREET, , ,KISSENA BOULEVARD,HARDING EXPRESSWAY,QUEENS, , ,43.022756,-77.044834
